Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit,Lead_Time_Days,Ship_Mode_encoded,Latitude,Longitude
1,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Cassandra Brandow,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,0,261.96,2,0.0,41.9136,92,2,26.083186820040453,-99.87544086677262
2,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Cassandra Brandow,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0,731.94,3,0.0,219.582,92,2,26.083186820040453,-99.87544086677262
3,CA-2016-138688,2016-12-06,2016-12-06,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,0,14.62,2,0.0,6.8714,0,2,36.09282679404764,-85.23751946320377
4,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Cassandra Brandow,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,0,957.5775,5,0.45,-383.031,0,3,26.72785619123988,-114.20392834306152
5,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Cassandra Brandow,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,0,22.368,2,0.2,2.5164,0,3,26.72785619123988,-114.20392834306152
6,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",0,48.86,7,0.0,14.1694,0,3,36.09282679404764,-85.23751946320377
7,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-AR-10002833,Office Supplies,Art,Newell 322,0,7.28,4,0.0,1.9656,0,3,36.09282679404764,-85.23751946320377
8,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,0,907.152,6,0.2,90.7152,0,3,36.09282679404764,-85.23751946320377
9,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,0,18.504,3,0.2,5.7825,0,3,36.09282679404764,-85.23751946320377
10,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,0,114.9,5,0.0,34.47,0,3,36.09282679404764,-85.23751946320377
11,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,0,1706.184,9,0.2,85.3092,0,3,36.09282679404764,-85.23751946320377
12,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,0,911.424,4,0.2,68.3568,0,3,36.09282679404764,-85.23751946320377
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Cassandra Brandow,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,0,15.552,3,0.2,5.4432,5,3,43.22369327973212,-101.1001901298797
14,CA-2016-161389,2016-05-12,2016-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Anna Andreadi,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,0,407.976,3,0.2,132.5922,153,3,43.10627704648331,-89.47131304885207
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",0,68.81,5,0.8,-123.858,4,3,35.436688115193746,-118.75033841720767
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,0,2.544,3,0.8,-3.816,4,3,35.436688115193746,-118.75033841720767
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Kelly Williams,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",0,665.88,6,0.0,13.3176,7,3,42.29906349669206,-118.20403100348996
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Anna Andreadi,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,0,55.5,2,0.0,9.99,2,2,45.66146561701058,-112.78937733460131
19,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-AR-10003056,Office Supplies,Art,Newell 341,1,8.56,2,0.0,2.4824,0,2,35.9461907101502,-78.59947715690333
20,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,1,213.48,3,0.2,16.011,0,2,35.9461907101502,-78.59947715690333
21,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",1,22.72,4,0.2,7.384,0,2,35.9461907101502,-78.59947715690333
22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AR-10000246,Office Supplies,Art,Newell 318,0,19.46,7,0.0,5.0596,92,3,46.78592823972759,-110.21810912724257
